9,5,4,3,7,3,17,13,29,12,17,12,18,14,13,24,20,25,13,17,20,12,20,12
10,7,1,4,2,3,10,15,15,19,12,19,14,12,19,13,22,27,26,14,21,14,16,10
13,3,6,4,3,0,9,15,14,5,19,12,20,10,15,19,23,22,24,23,16,16,9,12
6,6,4,4,5,5,16,18,22,9,13,12,12,24,30,24,23,29,23,19,17,9,14,5
16,7,8,6,3,6,4,7,10,9,21,11,18,16,10,18,21,17,16,17,14,21,9,6
7,8,5,3,2,7,8,10,8,11,16,17,8,19,20,11,17,16,16,27,12,13,12,17
13,8,4,3,2,4,9,11,7,7,13,14,15,13,21,20,33,18,22,27,20,13,21,8
10,7,4,4,3,4,11,13,19,13,17,12,9,21,20,20,16,28,17,17,22,13,18,5
7,4,2,3,2,7,6,12,22,15,11,14,15,13,15,27,21,20,30,9,15,22,15,10
7,3,1,1,1,6,6,10,18,12,10,17,13,23,15,15,20,23,23,13,17,13,17,14
5,4,0,3,4,5,15,20,30,14,15,8,15,11,22,17,25,22,15,18,22,9,12,7
11,13,4,7,3,6,8,10,9,10,18,9,22,17,21,19,5,11,25,23,18,15,9,7
5,8,4,10,8,5,9,11,14,21,8,21,17,20,20,19,22,15,16,13,11,16,16,11
10,5,2,3,3,7,10,7,17,15,13,6,16,13,16,26,20,36,27,22,13,13,18,7
8,7,5,5,2,5,14,17,24,8,12,12,14,12,20,14,22,18,16,18,18,18,17,10
10,7,4,3,2,12,11,13,14,12,17,10,15,16,21,19,21,23,26,21,21,19,17,14
7,7,4,2,1,5,9,21,14,11,15,13,18,10,22,22,17,17,18,21,13,17,12,8
6,5,3,3,0,5,8,16,20,15,11,11,14,15,19,19,9,23,18,15,20,15,20,9
15,9,6,6,7,2,6,14,9,20,10,14,18,21,20,15,11,19,15,23,24,16,12,16
12,5,11,6,9,11,10,12,15,15,12,16,22,8,16,14,16,21,10,13,24,17,17,12
5,6,5,2,3,8,12,14,24,11,9,11,15,16,26,23,20,32,28,12,17,11,16,18
10,9,5,2,6,4,12,15,22,24,14,22,12,12,11,17,13,26,25,22,8,22,17,6
5,4,2,3,4,8,12,13,19,15,11,10,22,21,24,15,20,27,22,20,20,17,15,5
10,7,2,2,4,6,10,15,19,19,14,11,16,20,12,16,15,26,18,34,12,11,10,12
6,10,5,3,3,6,13,20,29,19,17,8,29,21,20,26,28,40,33,35,20,17,20,11
26,8,4,5,2,0,4,14,13,17,18,13,13,16,11,21,9,24,14,18,25,23,10,14
20,7,7,0,3,12,5,20,15,13,19,28,21,17,29,18,19,18,19,15,22,15,16,13
14,6,2,0,5,7,10,23,17,19,10,13,18,11,22,14,21,24,24,28,9,18,15,16
9,9,1,1,0,8,7,18,18,19,11,11,13,13,12,9,27,30,38,16,16,17,18,14
7,4,3,2,3,5,15,13,17,12,9,7,22,12,18,15,16,31,19,19,15,20,8,6
15,2,0,3,7,9,10,11,20,7,18,8,11,11,20,22,20,25,35,27,14,22,13,10
14,11,3,1,4,7,9,17,14,17,18,8,18,21,20,19,20,30,26,15,23,14,18,11
11,19,9,2,6,3,4,11,12,17,19,12,16,12,27,13,18,19,21,21,12,19,12,9
5,7,7,2,1,6,16,14,13,8,15,9,10,12,18,17,20,30,22,26,20,30,20,18
16,7,5,2,3,6,14,15,15,12,7,10,14,21,20,11,15,26,17,23,22,16,11,15
